sample_id,batch_name,product_fine,split_group,d_RJD_input,d_YJD_input,margin_YminusR_input,input_nn_pred,input_correct
B06_0072_125030712,20250310,YJD,train,1.031517744064331,0.9207669496536255,-0.11075079441070557,YJD,True
B06_0073_125030714,20250310,YJD,train,0.9033491015434265,0.7360541820526123,-0.1672949194908142,YJD,True
B06_0085_125031001,20250310,YJD,train,0.9262843132019043,0.666082501411438,-0.2602018117904663,YJD,True
B06_0086_125031004,20250310,YJD,train,0.9307143092155457,0.6870908141136169,-0.2436234951019287,YJD,True
B06_0093_125031107,20250310,YJD,train,0.9352808594703674,0.7072791457176208,-0.22800171375274658,YJD,True
B07_0112_125031203,20250317,YJD,train,1.0395762920379639,0.9440118074417114,-0.09556448459625244,YJD,True
B07_0113_525031201,20250317,YJD,train,1.045449137687683,0.9478054642677307,-0.09764367341995239,YJD,True
B07_0126_125031304,20250317,YJD,train,1.0520039796829224,0.9572692513465881,-0.09473472833633423,YJD,True
B07_0127_125031307,20250317,YJD,train,1.049013614654541,0.9511341452598572,-0.09787946939468384,YJD,True
B07_0140_125031401,20250317,YJD,train,1.06157386302948,0.970441997051239,-0.09113186597824097,YJD,True
B07_0141_125031407,20250317,YJD,train,1.0582349300384521,0.9698400497436523,-0.0883948802947998,YJD,True
B07_0142_125031410,20250317,YJD,train,1.0584150552749634,0.9638919830322266,-0.09452307224273682,YJD,True
B07_0195_125031701,20250317,YJD,train,0.9176831841468811,0.643392026424408,-0.27429115772247314,YJD,True
B08_0218_125031901,20250326,YJD,train,0.9153360724449158,0.6143581867218018,-0.300977885723114,YJD,True
B08_0219_125031904,20250326,YJD,train,0.9136804342269897,0.6137728095054626,-0.2999076247215271,YJD,True
B08_0230_125032001,20250326,YJD,train,0.9125737547874451,0.6168659329414368,-0.2957078218460083,YJD,True
B08_0231_125032004,20250326,YJD,train,0.9166975021362305,0.6112063527107239,-0.3054911494255066,YJD,True
B08_0258_125032401,20250326,YJD,train,0.9163740277290344,0.5994688272476196,-0.3169052004814148,YJD,True
B09_0272_125032501,20250331,YJD,train,0.93599534034729,0.6010906100273132,-0.3349047303199768,YJD,True
B09_0273_125032504,20250331,YJD,train,0.9356929063796997,0.6042239665985107,-0.33146893978118896,YJD,True
B09_0274_125032508,20250331,YJD,train,0.9380737543106079,0.6047401428222656,-0.3333336114883423,YJD,True
B09_0275_125032511,20250331,YJD,train,0.9346551895141602,0.6005522012710571,-0.334102988243103,YJD,True
B10_0296_125040201,20250411,YJD,train,0.9219781756401062,0.5819146037101746,-0.34006357192993164,YJD,True
B10_0297_125040202,20250411,YJD,train,0.9133701920509338,0.5693812370300293,-0.34398895502090454,YJD,True
B10_0298_125040205,20250411,YJD,train,0.9126183390617371,0.577745795249939,-0.3348725438117981,YJD,True
B10_0299_125040208,20250411,YJD,train,0.9088742733001709,0.5655049681663513,-0.3433693051338196,YJD,True
B10_0300_125040211,20250411,YJD,train,0.9151385426521301,0.5693771839141846,-0.34576135873794556,YJD,True
B10_0311_125040301,20250411,YJD,train,0.915110170841217,0.5672394633293152,-0.34787070751190186,YJD,True
B10_0312_125040304,20250411,YJD,train,0.912831723690033,0.5591370463371277,-0.3536946773529053,YJD,True
B10_0313_125040307,20250411,YJD,train,0.9118830561637878,0.5732423663139343,-0.3386406898498535,YJD,True
B10_0314_125040308,20250411,YJD,train,0.9089632630348206,0.5677845478057861,-0.3411787152290344,YJD,True
B10_0315_125040311,20250411,YJD,train,0.9088940024375916,0.5631425976753235,-0.34575140476226807,YJD,True
B10_0316_125040314,20250411,YJD,train,0.9061340689659119,0.5609959959983826,-0.3451380729675293,YJD,True
B10_0317_125040315,20250411,YJD,train,0.9083237051963806,0.5505029559135437,-0.3578207492828369,YJD,True
B10_0331_125040801,20250411,YJD,train,0.912041962146759,0.5579849481582642,-0.3540570139884949,YJD,True
B10_0332_125040802,20250411,YJD,train,0.9160239696502686,0.5656715035438538,-0.3503524661064148,YJD,True
B10_0333_125040805,20250411,YJD,train,0.9076029658317566,0.547855019569397,-0.3597479462623596,YJD,True
B10_0334_125040808,20250411,YJD,train,0.9087958335876465,0.5566839575767517,-0.3521118760108948,YJD,True
B10_0346_125040902,20250411,YJD,train,0.9107640981674194,0.5535579919815063,-0.3572061061859131,YJD,True
B10_0347_125040904,20250411,YJD,train,0.9112229347229004,0.5566952228546143,-0.35452771186828613,YJD,True
B10_0348_125040907,20250411,YJD,train,0.9150654673576355,0.5604004263877869,-0.35466504096984863,YJD,True
B10_0349_125040908,20250411,YJD,train,0.9045780301094055,0.5404964685440063,-0.36408156156539917,YJD,True
B10_0361_125041001,20250411,YJD,train,0.90531325340271,0.5520213842391968,-0.3532918691635132,YJD,True
B10_0362_125041003,20250411,YJD,train,0.9098345637321472,0.5478275418281555,-0.3620070219039917,YJD,True
B10_0363_125041006,20250411,YJD,train,0.9109387993812561,0.5518975257873535,-0.3590412735939026,YJD,True
B10_0364_125041009,20250411,YJD,train,0.9060482382774353,0.5511235594749451,-0.35492467880249023,YJD,True
B11_0387_125041101,20250417,YJD,train,0.8966630697250366,0.5486120581626892,-0.3480510115623474,YJD,True
B11_0388_125041104,20250417,YJD,train,0.8912520408630371,0.5328872799873352,-0.3583647608757019,YJD,True
B11_0389_125041107,20250417,YJD,train,0.8933002948760986,0.5417048335075378,-0.3515954613685608,YJD,True
B11_0390_125041110,20250417,YJD,train,0.8938601613044739,0.5410067439079285,-0.3528534173965454,YJD,True
B11_0391_125041113,20250417,YJD,train,0.893035888671875,0.5436218976974487,-0.34941399097442627,YJD,True
B11_0405_125041401,20250417,YJD,train,0.8929480910301208,0.5499395132064819,-0.3430085778236389,YJD,True
B11_0406_125041404,20250417,YJD,train,0.8892198204994202,0.5408948063850403,-0.3483250141143799,YJD,True
B11_0417_125041503,20250417,YJD,train,0.8956618309020996,0.5529304146766663,-0.34273141622543335,YJD,True
B11_0418_125041507,20250417,YJD,train,0.8791338205337524,0.5150379538536072,-0.36409586668014526,YJD,True
B11_0419_125041511,20250417,YJD,train,0.878313422203064,0.5195645093917847,-0.3587489128112793,YJD,True
B11_0430_125041601,20250417,YJD,train,0.8867610096931458,0.5281444191932678,-0.35861659049987793,YJD,True
B11_0431_125041604,20250417,YJD,train,0.8894797563552856,0.5337687134742737,-0.35571104288101196,YJD,True
B11_0432_125041607,20250417,YJD,train,0.888329029083252,0.5382456183433533,-0.3500834107398987,YJD,True
B11_0445_125041701,20250417,YJD,train,0.893110990524292,0.5240441560745239,-0.36906683444976807,YJD,True
B11_0446_125041703,20250417,YJD,train,0.8917065858840942,0.5262579321861267,-0.36544865369796753,YJD,True
B11_0447_125041706,20250417,YJD,train,0.8951466083526611,0.5264537930488586,-0.3686928153038025,YJD,True
B11_0448_125041709,20250417,YJD,train,0.8933183550834656,0.5266082882881165,-0.3667100667953491,YJD,True
B12_0473_125041801,20250423,YJD,train,0.9238651394844055,0.6544851660728455,-0.26937997341156006,YJD,True
B12_0474_125041802,20250423,YJD,train,0.9205790162086487,0.6374974250793457,-0.283081591129303,YJD,True
B12_0475_125041803,20250423,YJD,train,0.924429714679718,0.644488513469696,-0.279941201210022,YJD,True
B12_0476_125041805,20250423,YJD,train,0.9130080938339233,0.6460505723953247,-0.26695752143859863,YJD,True
B12_0477_125042101,20250423,YJD,train,0.9289323091506958,0.6604848504066467,-0.2684474587440491,YJD,True
B12_0478_125042102,20250423,YJD,train,0.9173899292945862,0.6609736084938049,-0.25641632080078125,YJD,True
B12_0479_125042103,20250423,YJD,train,0.9246584177017212,0.6674068570137024,-0.2572515606880188,YJD,True
B12_0480_125042104,20250423,YJD,train,0.9313438534736633,0.6736792325973511,-0.25766462087631226,YJD,True
B13_0499_125050503,20250516,YJD,train,0.9054981470108032,0.5355756282806396,-0.3699225187301636,YJD,True
B13_0500_125050506,20250516,YJD,train,0.899489164352417,0.5268194079399109,-0.3726697564125061,YJD,True
B13_0501_125050509,20250516,YJD,train,0.899517297744751,0.5232726335525513,-0.3762446641921997,YJD,True
B13_0502_125050518,20250516,YJD,train,0.9025662541389465,0.5257963538169861,-0.37676990032196045,YJD,True
B13_0503_125050521,20250516,YJD,train,0.9070277810096741,0.5324937105178833,-0.37453407049179077,YJD,True
B13_0517_125050601,20250516,YJD,train,0.8964635729789734,0.5215607285499573,-0.3749028444290161,YJD,True
