sample_id,d_path,d_name,batch_idx,batch_name,seq_no,code,spec_name,line_code,lot_id,test_case,fine_code,coarse_code,product_code,product_fine,product_coarse,is_special,tensor_path
B00_0001_124030102,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/001#HYZCS124030102.D,001#HYZCS124030102.D,0,20240304,1.0,HYZ,云烟（紫）,,124030102,CS124030102,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0000_B00_0001_124030102.npz
B00_0002_124030105,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/002#HYZCS124030105.D,002#HYZCS124030105.D,0,20240304,2.0,HYZ,云烟（紫）,,124030105,CS124030105,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0001_B00_0002_124030105.npz
B00_0003_124030109,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/003#HYZCS124030109.D,003#HYZCS124030109.D,0,20240304,3.0,HYZ,云烟（紫）,,124030109,CS124030109,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0002_B00_0003_124030109.npz
B00_0004_124030111,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/004#HYZCS124030111.D,004#HYZCS124030111.D,0,20240304,4.0,HYZ,云烟（紫）,,124030111,CS124030111,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0003_B00_0004_124030111.npz
B00_0005_124030113,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/005#HYZCS124030113.D,005#HYZCS124030113.D,0,20240304,5.0,HYZ,云烟（紫）,,124030113,CS124030113,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0004_B00_0005_124030113.npz
B00_0006_124030114,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/006#HYZCS124030114.D,006#HYZCS124030114.D,0,20240304,6.0,HYZ,云烟（紫）,,124030114,CS124030114,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0005_B00_0006_124030114.npz
B00_0007_124030116,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/007#HYZCS124030116.D,007#HYZCS124030116.D,0,20240304,7.0,HYZ,云烟（紫）,,124030116,CS124030116,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0006_B00_0007_124030116.npz
B00_0008_124030108,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/008#HRYCS124030108.D,008#HRYCS124030108.D,0,20240304,8.0,HRY,云烟（软如意）,,124030108,CS124030108,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0007_B00_0008_124030108.npz
B00_0009_124030108,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/009#HRYCS124030108.D,009#HRYCS124030108.D,0,20240304,9.0,HRY,云烟（软如意）,,124030108,CS124030108,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0008_B00_0009_124030108.npz
B00_0010_124030110,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/010#HRYCS124030110.D,010#HRYCS124030110.D,0,20240304,10.0,HRY,云烟（软如意）,,124030110,CS124030110,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0009_B00_0010_124030110.npz
B00_0011_124030110,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/011#HRYCS124030110.D,011#HRYCS124030110.D,0,20240304,11.0,HRY,云烟（软如意）,,124030110,CS124030110,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0010_B00_0011_124030110.npz
B00_0012_124030101,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/012#H88CS124030101.D,012#H88CS124030101.D,0,20240304,12.0,H88,红河（88）,,124030101,CS124030101,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0011_B00_0012_124030101.npz
B00_0013_124030104,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/013#H88CS124030104.D,013#H88CS124030104.D,0,20240304,13.0,H88,红河（88）,,124030104,CS124030104,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0012_B00_0013_124030104.npz
B00_0014_124030112,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/014#H88CS124030112.D,014#H88CS124030112.D,0,20240304,14.0,H88,红河（88）,,124030112,CS124030112,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0013_B00_0014_124030112.npz
B00_0015_124030115,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/015#H88CS124030115.D,015#H88CS124030115.D,0,20240304,15.0,H88,红河（88）,,124030115,CS124030115,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0014_B00_0015_124030115.npz
B00_0019_124030402,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/019#HYZCS124030402.D,019#HYZCS124030402.D,0,20240304,19.0,HYZ,云烟（紫）,,124030402,CS124030402,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0015_B00_0019_124030402.npz
B00_0020_124030405,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/020#HYZCS124030405.D,020#HYZCS124030405.D,0,20240304,20.0,HYZ,云烟（紫）,,124030405,CS124030405,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0016_B00_0020_124030405.npz
B00_0021_124030409,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/021#HYZCS124030409.D,021#HYZCS124030409.D,0,20240304,21.0,HYZ,云烟（紫）,,124030409,CS124030409,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0017_B00_0021_124030409.npz
